AssetID,AssetType,Functional Purpose,FunctionalLocation,Component_ID,Component information,ISO14224 Equipment Class,ISO14224 Equipment ClassDescription,ISO14224 Failure Mode Code,ISO14224 Failure Mode Description,ISO14224 Failure Mechanism Category,ISO14224 Failure Mechanism Subdivision,Original data entry for Failure Mode ,Original entry for Failure Mechanism ,HiddenFailure,Original entry for Failure Effect,MaintenanceStrategy,ControlMeasure,ControlFrequency,ControlGroup ,
ACX1,,Detect clave high level,Loop 02767 ,LSH02767 ,Radiation level sensor,,,,,Instrument failure,Out of adjustment,Not switching,Misalignment ,Y,Overfilling during charge step (insufficient vapour space in clave) results in the H2 pressure control being unable to respond correctly,PM,Shutter  Test,52W,Maint,"PSV02014 lifts, release of powder / liquor and vapour to atmosphere at elevated location. Ignition not considered credible (classified hazardous area), vapour will contain steam. Potenital for serious harm for personnel in immediate vicinity of PSV.
LOPA 25.18"
ACX1,,Detect clave high level,Loop 02767 ,"LSH02767 
",Radiation level sensor,,,,,Instrument failure,Out of adjustment,Not switching,Misalignment ,Y,Overfilling during charge step (insufficient vapour space in clave) results in the H2 pressure control being unable to respond correctly,PM,Wipe Test,52W,Maint,"PSV02014 lifts, release of powder / liquor and vapour to atmosphere at elevated location. Ignition not considered credible (classified hazardous area), vapour will contain steam. Potenital for serious harm for personnel in immediate vicinity of PSV.
LOPA 25.18"
ACX1,,Detect clave high level,Loop 02767 ,LSH02767 ,Radiation level sensor,,,FTF,,Electrical failure,General - related to supply and transmission of electrical power - no further details,Not switching,Hardware failure,Y,Overfilling during charge step (insufficient vapour space in clave) results in the H2 pressure control being unable to respond correctly,PM,Shutter  Test,52W,Maint,"PSV02014 lifts, release of powder / liquor and vapour to atmosphere at elevated location. Ignition not considered credible (classified hazardous area), vapour will contain steam. Potenital for serious harm for personnel in immediate vicinity of PSV.
LOPA 25.18"
ACX1,,Detect clave high level,Loop 02767 ,"LSH02767 
",Radiation level sensor,,,FTF,,Electrical failure,General - related to supply and transmission of electrical power - no further details,Not switching,Hardware failure,Y,Overfilling during charge step (insufficient vapour space in clave) results in the H2 pressure control being unable to respond correctly,PM,Wipe Test,52W,Maint,"PSV02014 lifts, release of powder / liquor and vapour to atmosphere at elevated location. Ignition not considered credible (classified hazardous area), vapour will contain steam. Potenital for serious harm for personnel in immediate vicinity of PSV.
LOPA 25.18"
ACX1,,Add steam to control clave temperature,Loop 02766,TE02766,Temperature sensor ,,,,,Instrument failure,Faulty signal,Inaccurate reading,Inherent,Y,Potentially overheat the clave,PM,Calibration,104W,Maint,Prolonged overheating can cause damage to clave
RV01,Control loop,Add steam to control vessel temperature,Loop 02766,TIT02766,Temperature indicating transmitter,CL,Control logic units,AIR,Abnormal Instrument Air,Instrument failure,Control failure,Inaccurate reading,Inherent,Y,Potentially overheat the vessel,PM,Calibration,104W,Maint,
RV01,Control loop,Add steam to control vessel temperature,Loop 02766,"TV02766 
",Temperature control valve ,VA,Valves,SPO,Spurious operation,Material failure,Wear,Erratic/Sticking,Wear,N,Potentially overheat the vessel,PM,Stroke check,104W,Maint,
RV01,Control loop,Add steam to control vessel temperature,Loop 02766,"TV02766 
",Temperature control valve ,VA,Valves,INL,Internal leakage,Mechanical failure,Clearance/ alignment failure,Passing,Wear,Y,Potentially overheat the vessel,PM,OSR,208W,Maint,
ACX1,,Control clave pressure by controlling air vent and H2 inlet control,Loop 02773,PIT02773,Pressure indicating transmitter,,,,,Instrument failure,Faulty signal,Inaccurate reading,Inherent,Y,Potential to over pressure the clave,PM,Calibration,208W,Prod,Clave unsafe to run without pressure measurement
ACX1,,Control clave pressure by controlling air vent and H2 inlet control,Loop 02773,PIT02773,Pressure indicating transmitter,,,PLU,,External influence,Blockage/ plugged,Tapping blocked,Process conditions,Y,Potential to over pressure the clave,PM,Inspect tappings,52W,Maint,Error in reading causing erratic pressure control
ACX1,,Control clave pressure by controlling air vent and H2 inlet control,Loop 02773,PIT02773,Pressure indicating transmitter,,,PLU,,External influence,Blockage/ plugged,Tapping blocked,Process conditions,Y,Potential to over pressure the clave,Spare,Crit spare,As needed,Maint,
ACX1,,Control clave pressure by controlling air vent and H2 inlet control,Loop 02774,PIT02774 ,Pressure indicating transmitter,,,AIR,,External influence,Blockage/ plugged,Inaccurate reading,Inherent,Y,Potential to over pressure the clave,PM,Calibration,208W,Prod,Clave unsafe to run without pressure measurement
ACX1,,Control clave pressure by controlling air vent and H2 inlet control,Loop 02774,PIT02774 ,Pressure indicating transmitter,,,PLO,,External influence,Blockage/ plugged,Tapping blocked,Process conditions,Y,Potential to over pressure the clave,PM,Inspect tappings,52W,Maint,Error in reading causing erratic pressure control
ACX1,,Control clave pressure by controlling air vent and H2 inlet control,Loop 02774,PIT02774 ,Pressure indicating transmitter,,,PLO,,External influence,Blockage/ plugged,Tapping blocked,Process conditions,Y,Potential to over pressure the clave,Spare,Crit spare,As needed,Maint,
RV01,Control loop,vessel H2 vent control,Loop 02774,"PV02774-1
",Pressure valve,VA,Valves,FTO,Failure to open on demand,Mechanical failure,Sticking,Stuck closed,Foreign object,Y,Cannot control pressure in vessel,PM,OSR,26W,Maint,
RV01,Control loop,vessel H2 vent control,Loop 02774,"PV02774-1
",Pressure valve,VA,Valves,INL,Internal leakage,Mechanical failure,Clearance/ alignment failure,Passing,Wear,Y,Cannot control pressure in vessel,Spare,Rotable spare,As needed,Maint,
RV01,Control loop,vessel H2 inlet control,Loop 02774,PV02774-3 ,Pressure valve,VA,Valves,INL,Internal leakage,Mechanical failure,Clearance/ alignment failure,Passing,Wear,Y,Cannot control pressure in vessel,PM,OSR,208W,Maint,
RV01,Control loop,vessel H2 inlet control,Loop 02774,PV02774-3 ,Pressure valve,VA,Valves,INL,Internal leakage,Mechanical failure,Clearance/ alignment failure,Passing,Wear,Y,Cannot control pressure in vessel,Spare,Rotable spare,As needed,Maint,
ACX1,,Clave H2 inlet control,Loop 02774,ZI02774-3 ,Position indicator,,,,,Instrument failure,Faulty signal,Passing,Wear,Y,Cannot control pressure in Clave,PM,OSR,208W,Maint,Pressure control becomes unstable. Potential release of process through PSV. Typically throttling. Clean H2. Rare to be stuck closed or open. Will stop at end of cycle.
ACX1,,Clave H2 inlet control,Loop 02774,ZSC02774-3 ,Position switch closed,,,,,Instrument failure,Faulty signal,Passing,Wear,Y,Cannot control pressure in Clave,PM,OSR,208W,Maint,Pressure control becomes unstable. Potential release of process through PSV. Typically throttling. Clean H2. Rare to be stuck closed or open. Will stop at end of cycle.
RV01,Control loop,vessel air vent control,Loop 02774,"PV02774-2
",Pressure valve,VA,Valves,INL,Internal leakage,Mechanical failure,Clearance/ alignment failure,Passing,Wear,Y,Cannot control pressure in vessel,PM,OSR,208W,Maint,
RV01,Control loop,vessel air vent control,Loop 02774,"PV02774-2
",Pressure valve,VA,Valves,INL,Internal leakage,Mechanical failure,Clearance/ alignment failure,Passing,Wear,Y,Cannot control pressure in vessel,Spare,Rotable spare,As needed,Maint,
RV01,Control loop,vessel H2 vent block,Loop 02778,XV02778 ,Actuated on/off valve,VA,Valves,INL,Internal leakage,Material failure,Wear,Passing,Wear,Y,Safety,PM,OSR,208W,Maint,
RV01,Control loop,vessel H2 vent block,Loop 02778,XV02778 ,Actuated on/off valve,VA,Valves,INL,Internal leakage,Material failure,Wear,Passing,Wear,Y,Safety,Spare,Rotable spare,As needed,Maint,
ACX1,,Clave H2 vent block,Loop 02778,ZSO02778,Position switch open,,,,,Instrument failure,Faulty signal,Passing,Wear,Y,Safety,PM,OSR,208W,Maint,Typically open when in use. Closes when complete. Can have air suction if passing. Safety. Stroked as part of densification
ACX1,,Clave H2 vent block,Loop 02778,ZSC02778,Position switch closed,,,,,Instrument failure,Faulty signal,Passing,Wear,Y,Safety,PM,OSR,208W,Maint,Typically open when in use. Closes when complete. Can have air suction if passing. Safety. Stroked as part of densification
RV01,Control loop,vessel air vent block,Loop 02777,XV02777,Actuated on/off valve,VA,Valves,INL,Internal leakage,Material failure,Wear,Passing,Wear,Y,Safety,PM,OSR,208W,Maint,
RV01,Control loop,vessel air vent block,Loop 02777,XV02777,Actuated on/off valve,VA,Valves,INL,Internal leakage,Material failure,Wear,Passing,Wear,Y,Safety,Spare,Rotable spare,As needed,Maint,
ACX1,,Clave air vent block,Loop 02777,ZSO02777,Actuated on/off valve,,,,,Instrument failure,Faulty signal,Passing,Wear,Y,Safety,PM,OSR,208W,Maint,Typically open when in use. Closes when complete. Can have air suction if passing. Safety.
ACX1,,Clave air vent block,Loop 02777,ZSC02777,Actuated on/off valve,,,,,Instrument failure,Faulty signal,Passing,Wear,Y,Safety,PM,OSR,208W,Maint,Typically open when in use. Closes when complete. Can have air suction if passing. Safety.
ACX1,,Control clave feed air,Loop 02776,FIT02776,Flow indicating transmitter,,,,,Instrument failure,Faulty signal,Inaccurate reading,Inherent,Y,Malfunction of air control loop,PM,Calibration,104W,Maint,"High pressure in clave. LOPA 25.09, 25.10"
ACX1,,Control clave feed air,Loop 02776,FIT02776,Flow indicating transmitter,,,PLU,,External influence,Blockage/ plugged,Inaccurate reading,Tapping blocked,Y,Malfunction of air control loop,PM,Insp tapping,104W,Maint,"High pressure in clave. LOPA 25.09, 25.10"
RV01,Control loop,Control vessel feed air,Loop 02776,"FV02776
",Flow valve,VA,Valves,SPO,Spurious operation,Mechanical failure,Sticking,Erratic control,Sticky movement,N,Malfunction of air control loop,PM,Stroke check,104W,Maint,
RV01,Control loop,Control vessel feed air,Loop 02776,"FV02776
",Flow valve,VA,Valves,INL,Internal leakage,Mechanical failure,Clearance/ alignment failure,Passing,Wear,Y,Potential over pressure of vessel,PM,OSR,208W,Maint,
RV01,Control loop,vessel discharge block 1 bottom Jamesbury,Loop 02764,XV02764 ,Actuated on/off valve,VA,Valves,INL,Internal leakage,Material failure,Wear,Passing,Wear,Y,Unable to control vessel pressure,PM,Replace,4 days,Maint,
RV01,Control loop,vessel discharge block 1 bottom Jamesbury,Loop 02764,XV02764 ,Actuated on/off valve,VA,Valves,FTO,Failure to open on demand,Material failure,Wear,Stuck closed,Nickel plating within ball and seat.,Y,Potential over pressure of vessel,Spare,Rotable spare,As needed,Maint,
RV01,Control loop,vessel discharge block 1 bottom Jamesbury,Loop 02764,XV02764 ,Actuated on/off valve,VA,Valves,FTF,failure to function on demand,Mechanical failure,Sticking,Proxy not switching,Knocked/ ingress,N,Unable to control vessel pressure,PM,Align & Stroke,TAR,Operations,
RV01,Control loop,vessel discharge block 1 bottom Jamesbury,Loop 02764,XV02764 ,Actuated on/off valve,VA,Valves,FTF,failure to function on demand,Mechanical failure,Clearance/ alignment failure,Proxy not switching,Misalignment,N,Unable to control vessel pressure,, ,,,
ACX1,,Clave discharge block 1 bottom Jamesbury,Loop 02764,ZSO02764 ,Position switch open,,,PLU,,External influence,Blockage/ plugged,Proxy not switching,Knocked/ ingress,N,Unable to control clave pressure,PM,Align & Stroke,TAR,Operations,Stops sequence if in the middle of cycle. High count of failures.
ACX1,,Clave discharge block 1 bottom Jamesbury,Loop 02764,ZSC02764 ,Position switch closed,,,PLU,,External influence,Blockage/ plugged,Proxy not switching,Knocked/ ingress,N,Unable to control clave pressure,PM,Align & Stroke,TAR,Operations,Stops sequence if in the middle of cycle. High count of failures.
RV01,Control loop,vessel discharge block 2 top Jamesbury,Loop 02765,XV02765,Actuated on/off valve,VA,Valves,INL,Internal leakage,Material failure,Wear,Passing,Wear,Y,Unable to control vessel pressure,PM,Replace,4 days,Maint,
RV01,Control loop,vessel discharge block 2 top Jamesbury,Loop 02765,XV02765,Actuated on/off valve,VA,Valves,FTO,Failure to open on demand,Mechanical failure,Sticking,Stuck closed,Nickel plating within ball and seat.,Y,Potential over pressure of vessel,Spare,Rotable spare,As needed,Maint,
ACX1,,Clave discharge block 2 top Jamesbury,Loop 02765,XV02765,Actuated on/off valve,,,PLU,,External influence,Blockage/ plugged,Proxy not switching,Knocked/ ingress,N,Unable to control clave pressure,PM,Align & Stroke,TAR,Operations,Stops sequence if in the middle of cycle. High count of failures.
RV01,Control loop,vessel discharge block 2 top Jamesbury,Loop 02765,XV02765,Actuated on/off valve,VA,Valves,FTF,failure to function on demand,Mechanical failure,Clearance/ alignment failure,Proxy not switching,Misalignment,N,Unable to control vessel pressure,, ,,,
ACX1,,Clave discharge block 2 top Jamesbury,Loop 02765,ZSO02765 ,Position switch open,,,PLU,,External influence,Blockage/ plugged,Proxy not switching,Knocked/ ingress,N,Unable to control clave pressure,PM,Align & Stroke,TAR,Operations,Stops sequence if in the middle of cycle. High count of failures.
ACX1,,Clave discharge block 2 top Jamesbury,Loop 02765,ZSC02765,Position switch closed,,,PLU,,External influence,Blockage/ plugged,Proxy not switching,Knocked/ ingress,N,Unable to control clave pressure,PM,Align & Stroke,TAR,Operations,Stops sequence if in the middle of cycle. High count of failures.
RV01,Control loop,vessel discharge telltale to check if 2 blocks are blocking ,Loop 02848H,XV02848H,Actuated on/off valve,VA,Valves,INL,Internal leakage,Material failure,Wear,Passing,Wear,Y,Unable to control vessel pressure,PM,Replace,4 days,Maint,
RV01,Control loop,vessel discharge telltale to check if 2 blocks are blocking ,Loop 02848H,XV02848H,Actuated on/off valve,VA,Valves,INL,Internal leakage,Mechanical failure,Sticking,Stuck closed,Nickel plating within ball and seat.,Y,Potential over pressure of vessel,Spare,Rotable spare,As needed,Maint,
ACX1,,Clave discharge telltale to check if 2 blocks are blocking ,Loop 02848H,XV02848H,Actuated on/off valve,,,PLU,,External influence,Blockage/ plugged,Proxy not switching,Knocked/ ingress,N,Unable to control clave pressure,PM,Align & Stroke,TAR,Operations,Stops sequence if in the middle of cycle. High count of failures.
RV01,Control loop,vessel discharge telltale to check if 2 blocks are blocking ,Loop 02848H,XV02848H,Actuated on/off valve,VA,Valves,FTO,Failure to open on demand,Mechanical failure,Clearance/ alignment failure,Proxy not switching,Misalignment,N,Unable to control vessel pressure,, ,,,
ACX1,,Clave discharge telltale to check if 2 blocks are blocking ,Loop 02848H,ZSC02848H,Position switch closed,,,PLU,,External influence,Blockage/ plugged,Proxy not switching,Knocked/ ingress,N,Unable to control clave pressure,PM,Align & Stroke,TAR,Operations,Stops sequence if in the middle of cycle. High count of failures.
RV01,Control loop,vessel feed block,Loop 02826,XV02826H ,Actuated on/off valve,VA,Valves,INL,Internal leakage,Material failure,Wear,Passing,Wear,Y,Feed leaking,PM,OSR,52W,Maint,
RV01,Control loop,vessel feed block,Loop 02826,XV02826H ,Actuated on/off valve,VA,Valves,INL,Internal leakage,Material failure,Wear,Passing,Wear,Y,Feed leaking,Spare,Rotable spare,As needed,Maint,
ACX1,,Clave feed block,Loop 02826,ZSO02826,Position switch open,,,PLU,,External influence,Blockage/ plugged,Proxy not switching,Knocked/ ingress,N,Unable to control clave pressure,PM,Align & Stroke,TAR,Operations,Stops sequence if in the middle of cycle. High count of failures.
ACX1,,Clave feed block,Loop 02826,ZSC02826,Position switch closed,,,PLU,,External influence,Blockage/ plugged,Proxy not switching,Knocked/ ingress,N,Unable to control clave pressure,PM,Align & Stroke,TAR,Operations,Stops sequence if in the middle of cycle. High count of failures.
RV01,Control loop,HP Nitrogen to A Redn vessel block valve,CL 02140H,XV02140H,Actuated on/off valve,VA,Valves,INL,Internal leakage,Mechanical failure,Clearance/ alignment failure,Passing,Wear,Y,N2 leaking into vessel,PM,OSR,208W,Maint,
RV01,Control loop,HP Nitrogen to A Redn vessel block valve,CL 02140H,XV02140H,Actuated on/off valve,VA,Valves,INL,Internal leakage,Mechanical failure,Clearance/ alignment failure,Passing,Wear,Y,N2 leaking into vessel,Spare,Rotable spare,,,
ACX1,,HP Nitrogen to A Redn clave block valve,Loop 02140H,ZSO02140H,Position switch open,,,PLU,,External influence,Blockage/ plugged,Proxy not switching,Knocked/ ingress,N,Unable to control clave pressure,PM,Align & Stroke,TAR,Operations,Stops sequence if in the middle of cycle. High count of failures.
ACX1,,HP Nitrogen to A Redn clave block valve,Loop 02140H,ZSC02140H,Position switch closed,,,PLU,,External influence,Blockage/ plugged,Proxy not switching,Knocked/ ingress,N,Unable to control clave pressure,PM,Align & Stroke,TAR,Operations,Stops sequence if in the middle of cycle. High count of failures.
ACX1,,Control clave feed,Loop 02800H,"FIT02800H 
",Flow indicating transmitter,,,,,Instrument failure,Faulty signal,Inaccurate reading,Inherent,Y,Erratic control of clave feed,PM,Internal inspection of the flow meter,208W,Maint,Rely on high level switch. Over filling of the clave. LOPA 25.18
ACX1,,Control clave feed,Loop 02800H,"FIT02800H 
",Flow indicating transmitter,,,AIR,,External influence,Blockage/ plugged,Inaccurate reading,Buildup/ sheddar damage,Y,Inaccurate flow reading,PM,Internal inspection of the flow meter,208W,Maint,Rely on high level switch. Over filling of the clave. LOPA 25.19
RV01,Control loop,Control vessel feed,Loop 02800H,"FIT02800H 
",Flow indicating transmitter,CL,Control logic units,AIR,Abnormal Instrument Air,Instrument failure,Control failure,Leak to external,Sheddar seal deterioration,N,Feed leaking into vessel,PM,Inspection of the flow meter and seals,208W,Maint,
RV01,Control loop,Control vessel feed,Loop 02800H,"FV02800H 
",Flow valve,VA,Valves,ELP,External leakage process medium,Mechanical failure,Leakage,Leak to external,Sheddar seal deterioration,N,Feed leaking into vessel,Spare,Rotable spare,As needed,Maint,
RV01,Control loop,Control vessel feed,Loop 02800H,"FV02800H 
",Flow valve,VA,Valves,SPO,Spurious operation,Mechanical failure,Sticking,Erratic control,Sticky movement,Y,Erratic control of vessel feed,PM,Stroke check,104W,Maint,
RV01,Control loop,Control vessel feed,Loop 02800H,"FV02800H 
",Flow valve,VA,Valves,INL,Internal leakage,Mechanical failure,Clearance/ alignment failure,Passing,Wear,Y,Feed leaking when valve is closed,PM,OSR,52W,Maint,
